Team,Primary,Secondary,,,,
ATL,#e03a3e,#26282a,,,,
BOS,#00a55c,#bb9753,,,,
BKN,#000000,#FFFFFF,,,,
CHO,#1d1160,#00788c,,,,
CHI,#ce1141,#000000,,,,
CLE,#6f2633,#FFB81C,,,,
DAL,#007dc5,#c4ced4,,,,
DEN,#0d2240,#ffc627,,,,
DET,#C8102E,#1d428a,,,,
GSW,#006bb6,#fdb927,,,,
HOU,#ce1141,#000000,,,,
IND,#002d62,#fdbb30,,,,
LAC,#1d428,#c8102e,,,,
LAL,#fdb927,#552583,,,,
MEM,#12173f,#5d76a9,,,,
MIA,#98002e,#000000,,,,
MIL,#00471b,#eee1c6,,,,
MIN,#0c2340,#9ea2a2,,,,
NOP,#002b5c,#b4975a,,,,
NYK,#006bb6,#f58426,,,,
OKC,#007ac1,#fdbb30,,,,
ORL,#0b77bd,#000000,,,,
PHI,#006bb6,#ed174c,,,,
PHX,#1d1160,#e56020,,,,
POR,#000000,#e03a3e,,,,
SAC,#5b2b82,#63727a,,,,
SAS,#c4ced4,#000000,,,,
TOR,#cd1141,#000000,,,,
UTA,#0d2240,#f9a01b,,,,
WAS,#002b5c,#002b5c,,,,
