,Unnamed: 0,2P,2PA,3P,3PA,Assist%,BLK%,Class,Close2,Close2A,Conference,DR%,Dunk,DunkA,EFG,FT,FTA,Far2,Far2A,Fouls/40,Height,Min%,Name,OR%,ORtg,PlayerID,Role,STL%,School,Season,TO%,TS%,USG,FGA,FG,3p%_eb,ft%_eb,far2p%_eb,3par_eb
4621,4621,0.0,0.0,0.0,0.0,0.0,0.0,Fr,,,P12,0.0,,,0.0,0.0,0.0,0.0,0.0,20.0,,0.2,Chris Odionu,0.0,0.0,49347.0,,0.0,Arizona St.,2017.0,0.0,0.0,0.0,0.0,0.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.46210028487387694
4701,4701,0.0,0.0,0.0,0.0,0.0,0.0,Fr,,,P12,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.4,Romaine Jackson,21.2,29.4,49642.0,,0.0,Arizona St.,2017.0,86.6,0.0,25.5,0.0,0.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.46210028487387694
4702,4702,0.0,6.0,0.0,0.0,0.0,8.4,Fr,0.0,6.0,MEAC,12.2,0.0,0.0,0.0,2.0,2.0,0.0,0.0,16.6,,2.4,Charles Carrington,12.2,38.5,49643.0,,0.0,North Carolina A&T,2017.0,35.2,14.39,18.1,6.0,0.0,0.3381996010349285,0.706856179800152,0.3513645762606503,0.13176500563300345
9325,4582,1.0,1.0,0.0,0.0,0.0,0.0,,,,OVC,0.0,,,100.0,0.0,0.0,0.0,0.0,0.0,,0.0,Khalil Spencer,0.0,200.0,46146.0,,0.0,Tennessee St.,2016.0,0.0,100.0,20.0,1.0,1.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.3259199124035099
11169,1729,0.0,0.0,0.0,0.0,83.0,0.0,Jr,,,P12,57.1,,,0.0,0.0,0.0,0.0,0.0,0.0,6-5,0.2,AJ Martinka,0.0,0.0,52321.0,,0.0,Colorado,2020.0,0.0,0.0,0.0,0.0,0.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.46210028487387694
14172,4732,7.0,23.0,3.0,24.0,9.1,0.0,Sr,,,WAC,7.2,,,24.5,11.0,18.0,0.0,0.0,2.3,6-8,21.9,Michael Johnson,0.6,55.0,72225.0,,1.5,Chicago St.,2020.0,26.1,30.6,16.4,47.0,10.0,0.316750540447828,0.6476566374469869,0.3513645762606503,0.5082864438321427
17449,3276,0.0,0.0,0.0,0.0,0.0,0.0,,,,BE,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-,0.2,Matthew Schiff,39.6,207.5,16813.0,,0.0,Rutgers,2011.0,0.0,0.0,5.2,0.0,0.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.46210028487387694
17621,3448,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,MEAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.3,Dennis Rowe,38.1,50.9,17305.0,,0.0,South Carolina St.,2011.0,0.0,0.0,16.1,1.0,0.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.3259199124035099
17672,3499,2.0,5.0,0.0,0.0,0.0,0.0,,0.0,1.0,BE,13.8,0.0,0.0,40.0,2.0,4.0,2.0,4.0,4.4,-,0.7,Cameron Edison,13.5,72.3,17485.0,,0.0,St. John's,2011.0,26.5,43.48,20.0,5.0,2.0,0.3381996010349285,0.6503426906394439,0.3561335264791514,0.14958723395143916
18433,4260,0.0,0.0,0.0,0.0,0.0,0.0,,,,P10,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.4,Dave Whitmore,0.0,0.0,20145.0,,0.0,Arizona St.,2011.0,0.0,0.0,0.0,0.0,0.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.46210028487387694
