,Name,BLK%_pctile,BLK%,STL%_pctile,STL%,Height_Inches
10955,Isaiah Whaley,0.9052514837239973,8.5,0.8686529584557281,2.0,80
10746,Hasahn French,0.9399916072177927,9.8,0.8222528625382172,1.8,79
10729,Paul Reed,0.9316587734548288,9.4,0.9777291529284815,3.3,81
10641,Theo John,0.9181703734788083,8.9,0.5933097536118938,1.2,81
11718,Ludovic Dufeal,0.9648402373958396,11.6,0.8222528625382172,1.8,80
11703,Osun Osunniyi,0.9538396978598406,10.6,0.7218092440501169,1.5,82
11443,Liam Robbins,0.980246987590672,13.3,0.6380612673101133,1.3,84
11367,George Conditt IV,0.9470655236496613,10.2,0.8863377495353996,2.1,82
9822,AJ Wilson,0.9671182782806786,11.8,0.5933097536118938,1.2,79
9854,Michael Hughes,0.9635813200647443,11.5,0.9822252862538217,3.5,80
9971,Kyrin Galloway,0.9052514837239973,8.5,0.7925484083688028,1.7,80
9473,Mike Watkins,0.9508422756429471,10.4,0.9022540615071039,2.2,81
9688,Zach Pirog,0.9149931059289012,8.8,0.5462202505844973,1.1,83
10391,Osasumwen Osaghae,0.9734428391583239,12.4,0.7218092440501169,1.5,81
10468,Pauly Paulicap,0.9549487440800911,10.7,0.5933097536118938,1.2,80
10504,Terrell Brown,0.9316587734548288,9.4,0.5462202505844973,1.1,82
10215,Juwan Durham,0.9679875307235777,11.9,0.6814339667885618,1.4,83
13452,Onyeka Okongwu,0.9399916072177927,9.8,0.9158323841496313,2.3,81
13241,Hall Elisias,0.9794077093699418,13.2,0.8686529584557281,2.0,79
13161,Joshua Morgan,0.9549487440800911,10.7,0.5462202505844973,1.1,83
12096,Josh Roberts,0.9316587734548288,9.4,0.6814339667885618,1.4,81
12329,KC Ndefo,0.9773694622624542,12.9,0.9870811102451892,3.8,79
12369,Freddie Gillespie,0.9181703734788083,8.9,0.9158323841496313,2.3,81
11890,Yor Anei,0.9671182782806786,11.8,0.7925484083688028,1.7,82
11935,Jaylan Gainey,0.9712846951621605,12.2,0.5933097536118938,1.2,81
11973,Manny Bates,0.990348300461603,16.0,0.6814339667885618,1.4,83
11995,Stephane Ingo,0.9052514837239973,8.5,0.6380612673101133,1.3,81
12006,Kevin Samuel,0.9470655236496613,10.2,0.9270127690186439,2.4,83
12600,Sha'markus Kennedy,0.9209579761405191,9.0,0.5933097536118938,1.2,80
12589,Travon Bunch,0.9149931059289012,8.8,0.5933097536118938,1.2,85
