,player
2,Norvel Pelle
7,Zhou Qi
8,Edy Tavares
9,Mitchell Robinson
14,Hamed Haddadi
19,Goga Bitadze
20,Lucas Nogueira
21,Didier Ilunga-Mbenga
22,Salah Mejri
25,Vincent Poirier
31,Yao Ming
32,Rudy Gobert
47,Darko Miličić
51,Serge Ibaka
53,Chris Andersen
56,Andrew Bogut
58,Kristaps Porziņģis
59,Theo Ratliff
60,Bismack Biyombo
69,Samuel Dalembert
72,Jaren Jackson
74,Jermaine O'Neal
77,Marcus Camby
78,Tim Duncan
80,Tyrus Thomas
81,Ronny Turiaf
83,Dan Gadzuric
86,Clint Capela
87,DeSagana Diop
89,Andrew Bynum
92,Daniel Theis
94,Erick Dampier
98,Jusuf Nurkić
99,Ray Spalding
105,Patrick Ewing
106,Dwight Howard
109,Shaquille O'Neal
110,Georgios Papagiannis
111,Joe Smith
112,Rasheed Wallace
114,Vítor Faverani
119,Bruno Caboclo
120,Isaiah Hartenstein
122,Lou Amundson
127,Thon Maker
130,Ivica Zubac
131,Andris Biedriņš
136,Zydrunas Ilgauskas
138,Elton Brand
139,Brendan Haywood
140,Maxi Kleber
141,Alexis Ajinça
142,Marc Gasol
147,KZ Okpala
148,Ben Wallace
150,Eric Dawson
159,Luka Šamanić
160,Kevin Séraphin
163,Etan Thomas
164,Stephen Zimmerman
165,Wendell Carter
171,Chris Kaman
173,Nazr Mohammed
174,Timofey Mozgov
177,Giannis Antetokounmpo
179,Pau Gasol
180,Ryan Hollins
185,Skal Labissière
188,Brian Scalabrine
195,Ian Mahinmi
197,Jonas Valančiūnas
200,Marvin Bagley
204,Jason Maxiell
208,Jeremy Tyler
209,Hilton Armstrong
213,Marcin Gortat
215,Al Jefferson
216,Kenyon Martin
221,Darius Bazley
233,Solomon Jones
234,Boban Marjanović
238,Amar'e Stoudemire
246,Derrick Jones
250,Garret Siler
251,Kurt Thomas
252,Ömer Aşık
253,Brian Bowen
254,Tyson Chandler
256,Kyrylo Fesenko
258,Viacheslav Kravtsov
261,Kendrick Perkins
262,LaMarcus Aldridge
266,Francisco García
270,Jan Veselý
273,Gustavo Ayón
283,Kris Humphries
284,Paul Millsap
289,Alen Smailagić
291,David West
297,Andrei Kirilenko
299,Jamario Moon
301,Joel Przybilla
308,Nikola Vučević
309,Furkan Aldemir
310,Tony Battie
313,Semih Erden
314,Christian Eyenga
318,Anžejs Pasečņiks
326,Shane Battier
327,Dragan Bender
331,Melvin Ely
334,Yi Jianlian
337,Ognjen Kuzmić
340,Nikola Mirotić
341,Johan Petro
342,Vladimir Radmanović
344,James Singleton
345,Charlie Villanueva
346,P.J. Washington
348,Shawne Williams
349,Shelden Williams
350,Ante Žižić
352,Renaldo Balkman
353,Brandon Bass
354,Jeff Foster
355,Joel Freeland
356,Kevin Garnett
358,Willy Hernangómez
360,Jared Jeffries
363,Miroslav Raduljica
364,Tiago Splitter
366,Andray Blatche
367,Chris Bosh
368,Vlatko Čančar
370,Jacob Evans
372,Channing Frye
373,Nenê Hilário
377,Lamar Odom
379,Tibor Pleiß
381,Shavlik Randolph
390,Guerschon Yabusele
392,David Andersen
393,Andrea Bargnani
394,Dāvis Bertāns
397,Nikola Jokić
400,T.J. Leaf
401,Sean Marks
404,Antonio McDyess
405,Mikki Moore
416,Matt Barnes
419,Francisco Elson
421,Donté Greene
431,Anderson Varejão
432,Dwyane Wade
433,Chris Wilcox
436,Earl Barron
438,Nemanja Bjelica
442,Kwame Brown
445,Brian Cook
447,Rudy Gay
450,Enes Kanter
451,Jamaal Magloire
452,Nicolò Melli
453,Larry Nance
468,Malik Allen
472,Andre Emmett
487,Gary Payton
488,Nikola Peković
491,Juan Toscano-Anderson
496,Tony Allen
497,Wade Baldwin
500,Isaac Bonga
502,Rasual Butler
504,Nick Collison
506,Drew Gooden
511,Damien Inglis
512,Perry Jones
513,Shawn Marion
514,Dirk Nowitzki
520,Axel Toupane
528,Paul Zipser
530,Nicolas Batum
531,Vince Carter
533,Josh Childress
535,Eddy Curry
538,Danny Granger
543,LeBron James
545,Shaun Livingston
547,Tracy McGrady
553,Travis Outlaw
554,Sasha Pavlović
559,Gerald Wallace
563,Rodrigue Beaubois
565,Nicolás Brussino
568,Luigi Datome
571,Marko Guduric
572,Chuck Hayes
573,Andre Iguodala
587,Brad Miller
589,Donatas Motiejūnas
592,Thabo Sefolosha
594,Taurean Waller-Prince
596,Dorell Wright
597,Thanasis Antetokounmpo
598,Carmelo Anthony
600,Marquis Daniels
605,Billy Garrett
606,Gerald Green
612,Antawn Jamison
615,C.J. Miles
616,Naz Mitrou-Long
617,Kostas Papanikolaou
621,Quinton Ross
626,Lonnie Walker
633,Jason Collins
640,Cristiano Felício
645,Juan Hernangómez
646,Grant Hill
648,Ersan İlyasova
654,Nenad Krstić
655,Rodions Kurucs
660,Luc Mbah a Moute
667,Eduardo Nájera
668,Andrés Nocioni
671,Zaza Pachulia
673,Mickaël Piétrus
676,Alexey Shved
677,Mirza Teletović
679,Metta World Peace
683,Pero Antić
685,Matt Bonner
688,Rodney Carney
689,Anthony Carter
692,Victor Claver
694,Chris Copeland
696,Baron Davis
699,Boris Diaw
701,Mike Dunleavy
706,Udonis Haslem
708,Luther Head
709,Mario Hezonja
712,Jonas Jerebko
721,Kyle Korver
722,David Lee
723,Rashard Lewis
728,Troy Murphy
729,Frank Ntilikina
730,Mehmet Okur
732,Paul Pierce
735,Luis Scola
739,Gary Trent
745,Delonte West
746,Damien Wilkins
757,MarShon Brooks
762,Randy Foye
770,Joffrey Lauvergne
772,CJ McCollum
774,Emmanuel Mudiay
775,Johnny O'Bryant
779,Kevin Porter
780,Tayshaun Prince
781,Glenn Robinson
782,Dennis Smith
783,Ish Smith
786,Hedo Türkoğlu
791,RJ Barrett
797,Matt Carroll
798,Omri Casspi
801,Luol Deng
803,Sekou Doumbouya
805,Terrance Ferguson
806,Danilo Gallinari
808,Manu Ginóbili
810,Joey Graham
813,Josh Howard
815,Stephen Jackson
818,Mindaugas Kuzminskas
825,Leon Powe
830,Craig Smith
833,Jamaal Tinsley
835,P.J. Tucker
843,Gilbert Arenas
844,Trevor Ariza
846,Carlos Boozer
847,Ronnie Brewer
849,Brian Cardinal
851,Luka Dončić
852,Monta Ellis
853,Dante Exum
854,T.J. Ford
855,Daniel Gibson
857,Kirk Hinrich
869,Jason Kidd
872,Walt Lemon
874,Kyle Lowry
884,John Salmons
885,Dario Šarić
886,Jerry Stackhouse
894,Luke Walton
896,Álex Abrines
898,Bogdan Bogdanović
900,Shannon Brown
905,Raymond Felton
912,Richard Jefferson
914,Dahntay Jones
919,Furkan Korkmaz
921,Timothé Luwawu-Cabarrot
922,Josh Magette
925,Jaylen Morris
931,Josh Powell
932,Zach Randolph
935,Brandon Roy
938,Wayne Selden
939,Tornike Shengelia
941,J.R. Smith
945,Sebastian Telfair
949,Martell Webster
954,Leandro Barbosa
977,Nando De Colo
982,Maurice Evans
983,Rudy Fernández
987,Ben Gordon
995,Marcelo Huertas
999,Sheldon Mac
1001,Roger Mason
1005,Steve Novak
1008,Elie Okobo
1011,Ronnie Price
1014,Tomáš Satoranský
1019,Bobby Simmons
1020,Jason Terry
1024,Von Wafer
1025,Derrick Walton
1026,Hakim Warrick
1027,Deron Williams
1028,Jawad Williams
1029,Lou Williams
1032,Ray Allen
1035,Kobe Bryant
1037,Caron Butler
1040,Jamal Crawford
1043,Ike Diogu
1045,Goran Dragić
1046,Reggie Evans
1049,Mickaël Gelabale
1056,Joe Ingles
1057,Jarrett Jack
1063,Nicolás Laprovíttola
1064,Devyn Marble
1069,Nemanja Nedović
1070,Raul Neto
1071,Cedi Osman
1072,James Posey
1074,Quentin Richardson
1075,Luke Ridnour
1077,Anfernee Simons
1080,Ime Udoka
1081,C.J. Watson
1085,Alan Anderson
1088,Raja Bell
1089,Chauncey Billups
1095,Jarron Collins
1098,Carlos Delfino
1103,Jordan Farmar
1108,Tim Hardaway
1109,Al Harrington
1115,Brandon Jennings
1116,Joe Johnson
1118,Linas Kleiza
1122,Andre Miller
1128,Anthony Parker
1130,Chris Paul
1132,Ricky Rubio
1133,Dennis Schröder
1136,DeShawn Stevenson
1138,Miloš Teodosić
1142,Andrew White
1144,Marco Belinelli
1145,Mike Bibby
1146,Steve Blake
1147,Keith Bogans
1159,Chris Duhon
1163,Evan Fournier
1167,Royal Ivey
1169,Sergey Karasev
1172,Ricky Ledo
1174,Kevin Martin
1176,Patty Mills
1177,Jannero Pargo
1178,J.J. Redick
1181,Nate Robinson
1182,Rajon Rondo
1183,Damjan Rudež
1188,Greivis Vásquez
1189,Sasha Vujačić
1194,Bojan Bogdanović
1195,Earl Boykins
1196,José Calderón
1199,Keyon Dooling
1200,Derek Fisher
1203,Jorge Gutiérrez
1204,Richard Hamilton
1205,Eddie House
1206,Eugene Jeter
1208,Jason Kapono
1210,Corey Maggette
1215,Džanan Musa
1217,Steve Nash
1218,Jameer Nelson
1222,Chris Quinn
1223,Sergio Rodríguez
1224,Walker Russell
1227,Peja Stojaković
1232,Beno Udrih
1236,Carlos Arroyo
1238,J.J. Barea
1240,Stephen Graham
1242,John Lucas III
1246,Pablo Prigioni
1247,Michael Redd
1250,Maurice Ager
1259,Kelenna Azubuike
1261,Marcus Banks
1265,Dairis Bertāns
1279,Will Conroy
1283,Mitch Creek
1284,Antonio Daniels
1288,Ángel Delgado
1290,Zoran Dragić
1293,Ronald Dupree
1307,Orien Greene
1315,Haywood Highsmith
1320,William Howard
1321,Larry Hughes
1328,Carldell Johnson
1340,Jalen Lecque
1353,Pops Mensah-Bonsu
1357,Adam Mokoka
1358,Luis Montero
1362,Zach Norvell
1364,Fabricio Oberto
1366,Tim Ohlbrecht
1371,Morris Peterson
1380,Brian Skinner
1388,Darius Songaila
1392,Pape Sy
1393,Emanuel Terry
1402,James Webb
1410,Antoine Wright
